,url,time
178,http://localhost:5000/safe/1/page?id=1,4.748977
179,http://localhost:5000/safe/1/page?id=1,3.971738
180,http://localhost:5000/safe/1/page?id=1,2.055351
181,http://localhost:5000/safe/1/page?id=1,3.783076
182,http://localhost:5000/safe/1/page?id=1,1.280322
183,http://localhost:5000/safe/1/page?id=1,2.982252
184,http://localhost:5000/safe/1/page?id=1,1.926213
185,http://localhost:5000/safe/1/page?id=1,1.350802
186,http://localhost:5000/safe/1/page?id=1,1.814054
187,http://localhost:5000/safe/1/page?id=1,2.448261
188,http://localhost:5000/safe/1/page?id=1,4.819345
189,http://localhost:5000/safe/1/page?id=1,3.583429
190,http://localhost:5000/safe/1/page?id=1,4.063971
191,http://localhost:5000/safe/1/page?id=1,1.729459
192,http://localhost:5000/safe/1/page?id=1,2.554386
193,http://localhost:5000/safe/1/page?id=1,2.781549
194,http://localhost:5000/safe/1/page?id=1,5.050223
195,http://localhost:5000/safe/1/page?id=1,3.144246
196,http://localhost:5000/safe/1/page?id=1,3.296764
197,http://localhost:5000/safe/1/page?id=1,3.056335
198,http://localhost:5000/safe/1/page?id=1,2.200818
199,http://localhost:5000/safe/1/page?id=1,2.408473
200,http://localhost:5000/vulnerable/1/page?id=1,4.209893
201,http://localhost:5000/vulnerable/1/page?id=1,5.172008
202,http://localhost:5000/vulnerable/1/page?id=1,3.110931
203,http://localhost:5000/vulnerable/1/page?id=1,2.701447
204,http://localhost:5000/vulnerable/1/page?id=1,4.955337
205,http://localhost:5000/vulnerable/1/page?id=1,2.567903
206,http://localhost:5000/vulnerable/1/page?id=1,2.236599
207,http://localhost:5000/vulnerable/1/page?id=1,2.341779
208,http://localhost:5000/vulnerable/1/page?id=1,1.184525
209,http://localhost:5000/vulnerable/1/page?id=1,2.027682
210,http://localhost:5000/vulnerable/1/page?id=1,3.995185
211,http://localhost:5000/vulnerable/1/page?id=1,3.758549
212,http://localhost:5000/vulnerable/1/page?id=1,4.96261
213,http://localhost:5000/vulnerable/1/page?id=1,6.669999
214,http://localhost:5000/vulnerable/1/page?id=1,1.562311
215,http://localhost:5000/vulnerable/1/page?id=1,0.941289
216,http://localhost:5000/vulnerable/1/page?id=1,1.426574
217,http://localhost:5000/vulnerable/1/page?id=1,2.664572
218,http://localhost:5000/vulnerable/1/page?id=1,4.232836
219,http://localhost:5000/vulnerable/1/page?id=1,2.298753
220,http://localhost:5000/vulnerable/1/page?id=1,3.248383
221,http://localhost:5000/vulnerable/1/page?id=1,1.69654
222,http://localhost:5000/vulnerable/1/page?id=1,2.358816
223,http://localhost:5000/vulnerable/1/page?id=1,5.421655
224,http://localhost:5000/vulnerable/1/page?id=1,3.221725
225,http://localhost:5000/vulnerable/1/page?id=1,3.492007
226,http://localhost:5000/vulnerable/1/page?id=1,2.711315
227,http://localhost:5000/vulnerable/1/page?id=1,5.776203
228,http://localhost:5000/vulnerable/1/page?id=1,3.581845
229,http://localhost:5000/vulnerable/1/page?id=1,5.513844
230,http://localhost:5000/vulnerable/1/page?id=1,2.211602
231,http://localhost:5000/vulnerable/1/page?id=1,1.564593
232,http://localhost:5000/vulnerable/1/page?id=1,3.7642
233,http://localhost:5000/vulnerable/1/page?id=1,3.889341
234,http://localhost:5000/vulnerable/1/page?id=1,2.576725
235,http://localhost:5000/vulnerable/1/page?id=1,3.936366
236,http://localhost:5000/vulnerable/1/page?id=1,1.419065
237,http://localhost:5000/vulnerable/1/page?id=1,3.118559
238,http://localhost:5000/vulnerable/1/page?id=1,1.416525
239,http://localhost:5000/vulnerable/1/page?id=1,1.707282
240,http://localhost:5000/vulnerable/1/page?id=1,2.282731
241,http://localhost:5000/vulnerable/1/page?id=1,3.87687
